Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Abson D.J., Fischer J., Leventon J., Newig J., Schomerus T., Vilsmaier U., von Wehrden H., Abernethy P., Ives C.D., Jager N.W., Lang D.J.","35319656800;7404370317;55340402300;56026969500;40561808800;14044387800;15520350800;56293871400;35242287500;56340596700;57205105770;","Leverage points for sustainability transformation",2017,"Ambio","46","1",,"30","39",,630,"10.1007/s13280-016-0800-y",2-s2.0-84976324462
"Andrew S., Armstrong L., Birney A.","","Governance – the overlooked route to transformation: How can we best organise for change?",2021,"Forum Future",,,,"","",,,,2-s2.0-85161320533
"Andriamahefazafy M., Touron-Gardic G., March A., Hosch G., Palomares M.L.D., Failler P.","36143788700;57210257971;57222724627;36663567700;6701408907;14631752400;","Sustainable development goal 14: To what degree have we achieved the 2020 targets for our oceans?",2022,"Ocean and Coastal Management","227",,"106273","","",,5,"10.1016/j.ocecoaman.2022.106273",2-s2.0-85134221744
"Armitage D., Marschke M., van Tuyen T.","7006574363;57203129057;36024796000;","Early-stage transformation of coastal marine governance in Vietnam?",2011,"Marine Policy","35","5",,"703","711",,43,"10.1016/j.marpol.2011.02.011",2-s2.0-79953024146
"Avelino F., Grin J., Pel B., Jhagroe S.","35104401200;6603701820;36053714100;55556428600;","The politics of sustainability transitions",2016,"Journal of Environmental Policy and Planning","18","5",,"557","567",,205,"10.1080/1523908X.2016.1216782",2-s2.0-84981215068
"Bennett N.J., Blythe J., Cisneros-Montemayor A.M., Singh G.G., Sumaila U.R.","36774187200;55993171700;36094057100;57203792832;6701840163;","Just transformations to sustainability",2019,"Sustainability (Switzerland)","11","14","3881","","",,136,"10.3390/su11143881",2-s2.0-85072759196
"Biermann F., Abbott K., Andresen S., Bäckstrand K., Bernstein S., Betsill M.M., Bulkeley H., Cashore B., Clapp J., Folke C., Gupta A., Gupta J., Haas P.M., Jordan A., Kanie N., Kluvánková-Oravská T., Lebel L., Liverman D., Meadowcroft J., Mitchell R.B., Newell P., Oberthür S., Olsson L., Pattberg P., Sánchez-Rodríguez R., Schroeder H., Underdal A., Vieira S.C., Vogel C., Young O.R., Brock A., Zondervan R.","6603052684;7101646393;7006420934;6603328004;26643555200;6506763496;6602697750;57202992701;14008469200;7006090884;55444732700;7202539901;36003994000;26642873200;35234161600;6505937047;26643346600;6701806971;8667228200;55448665900;35926421300;6602169098;57209757800;14021738200;56574007300;36515607400;9244327900;55165102100;7201445898;56527974400;57201081942;36516009900;","Transforming governance and institutions for global sustainability: Key insights from the Earth System Governance Project",2012,"Current Opinion in Environmental Sustainability","4","1",,"51","60",,129,"10.1016/j.cosust.2012.01.014",2-s2.0-84863393384
"Biermann F., Hickmann T., Sénit C.-A., Beisheim M., Bernstein S., Chasek P., Grob L., Kim R.E., Kotzé L.J., Nilsson M., Ordóñez Llanos A., Okereke C., Pradhan P., Raven R., Sun Y., Vijge M.J., van Vuuren D., Wicke B.","6603052684;55760875600;57191887636;24477318800;26643555200;6602484329;57760208800;55504594900;23469821500;7202588916;57760094600;33568129300;55697388200;7006534473;57194043088;55486764000;7003501910;24340384600;","Scientific evidence on the political impact of the Sustainable Development Goals",2022,"Nature Sustainability","5","9",,"795","800",,53,"10.1038/s41893-022-00909-5",2-s2.0-85132576570
"Blythe J., Silver J., Evans L., Armitage D., Bennett N.J., Moore M.-L., Morrison T.H., Brown K.","55993171700;9044781400;26424634500;7006574363;36774187200;37119327700;35964161000;7404382278;","The Dark Side of Transformation: Latent Risks in Contemporary Sustainability Discourse",2018,"Antipode","50","5",,"1206","1223",,262,"10.1111/anti.12405",2-s2.0-85054297036
"Blythe J., Armitage D.","","Conditions and cautions for transforming ocean governance",2021,"Water Resil.",,,,"241","261",,,,2-s2.0-85161325255
"Blythe J.L., Armitage D., Bennett N.J., Silver J.J., Song A.M.","55993171700;7006574363;36774187200;9044781400;36242236100;","The Politics of Ocean Governance Transformations",2021,"Frontiers in Marine Science","8",,"634718","","",,10,"10.3389/fmars.2021.634718",2-s2.0-85110696512
"Bogers M., Biermann F., Kalfagianni A., Kim R.E., Treep J., de Vos M.G.","57816769400;6603052684;34880105200;55504594900;57190168904;57533863700;","The impact of the Sustainable Development Goals on a network of 276 international organizations",2022,"Global Environmental Change","76",,"102567","","",,12,"10.1016/j.gloenvcha.2022.102567",2-s2.0-85134760993
"Brand U.","55587676600;","""Transformation"" as a new critical orthodoxy: The strategic use of the term ""transformation"" does not prevent multiple crises",2016,"GAIA - Ecological Perspectives for Science and Society","25","1",,"23","27",,88,"10.14512/gaia.25.1.7",2-s2.0-84962709762
"Bulkeley H.","",[No title available],2020,,,,,"48","",,,,2-s2.0-85161291893
