Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Sovacool B.K.","9333655700;","How long will it take? Conceptualizing the temporal dynamics of energy transitions",2016,"Energy Research and Social Science","13",,,"202","215",,507,"10.1016/j.erss.2015.12.020",2-s2.0-84957436888
"Verbong G., Loorbach D.","15137449600;24450788200;","Governing the energy transition: Reality, illusion or necessity?",2012,"Governing the Energy Transition: Reality, Illusion or Necessity?",,,,"1","376",,132,"10.4324/9780203126523",2-s2.0-84906437970
"Rotmans J., Kemp R., Van Asselt M.","7005311747;35619497400;6602426495;","More evolution than revolution: Transition management in public policy",2001,"Foresight","3","1",,"15","31",,1298,"10.1108/14636680110803003",2-s2.0-0141657074
"Grin J., Rotmans J., Schot J.","6603701820;7005311747;55425822000;","Preface",2010,"Transitions to Sustainable Development: New Directions in the Study of Long Term Transformative Change",,,,"xvii","xix",,619,"10.4324/9780203856598",2-s2.0-84920750376
"Markard J., Raven R., Truffer B.","6603379853;7006534473;6603148005;","Sustainability transitions: An emerging field of research and its prospects",2012,"Research Policy","41","6",,"955","967",,1853,"10.1016/j.respol.2012.02.013",2-s2.0-84860223320
"Van Den Bergh J.C.J.M., Truffer B., Kallis G.","7006196632;6603148005;8580877300;","Environmental innovation and societal transitions: Introduction and overview",2011,"Environmental Innovation and Societal Transitions","1","1",,"1","23",,289,"10.1016/j.eist.2011.04.010",2-s2.0-79957973274
"Frantzeskaki N., Loorbach D.","7801567129;24450788200;","Towards governing infrasystem transitions. Reinforcing lock-in or facilitating change?",2010,"Technological Forecasting and Social Change","77","8",,"1292","1301",,119,"10.1016/j.techfore.2010.05.004",2-s2.0-77956683711
"O'Riordan T., Jäger J.","",[No title available],1996,"Politics of Climate Change: A European Perspective",,,,"","",,23,,2-s2.0-2442724412
"Raskin P., Banuri T., Gallopin G., Gutman P., Hammond A., Kates R., Swart R.","","Great Transition: The Promise and Lure of The Times Ahead",2002,"Great Transition: The Promise and Lure of the Times Ahead",,,,"","",,436,,2-s2.0-0005373051
"Costanza R.","",[No title available],1991,"Ecological Economics: The Science and Management of Sustainability",,,,"","",,713,,2-s2.0-0003411772
"Kemp R.","35619497400;","Technology and the transition to environmental sustainability. The problem of technological regime shifts",1994,"Futures","26","10",,"1023","1046",,419,"10.1016/0016-3287(94)90071-X",2-s2.0-0028600805
"Geels F., Kemp R.","","Transities vanuit sociotechnisch perspectief, achtergrondrapport voor de studie 'Transities en Transitiemanagement",2000,"Transities Vanuit Sociotechnisch Perspectief",,,,"","",,49,,2-s2.0-29144460507
"Rip A., Kemp R.","","Technological change",1998,"Human Choice and Climate Change","2",,,"327","399",,1567,,2-s2.0-0000806091
"Arthur W.B.","",[No title available],1994,"Increasing Returns and Path Dependence in the Economy",,,,"","",,2723,,2-s2.0-0003460403
"Van Den Bergh J.C.J.M., Gowdy J.M.","7006196632;7005707658;","Evolutionary theories in environmental and resource economics: Approaches and applications",2000,"Environmental and Resource Economics","17","1",,"37","57",,90,"10.1023/A:1008317920901",2-s2.0-0034281930
"O'Riordan T.","",[No title available],2001,"Globalism, Localism and Identity: Fresh Perspectives on the Transition to Sustainability",,,,"","",,73,,2-s2.0-0011851250
"Van Asselt M.B.A., Rotmans J.","6602426495;7005311747;","Uncertainty in perspective",1996,"Global Environmental Change","6","2",,"121","157",,82,"10.1016/0959-3780(96)00015-5",2-s2.0-0030153451
"Rotmans J.","7005311747;","Methods for IA: The challenges and opportunities ahead",1998,"Environmental Modeling and Assessment","3","3",,"155","179",,174,"10.1023/A:1019019024003",2-s2.0-0002466604
"Loorbach D.","",[No title available],2007,"Transition Management: New Mode of Governance for Sustainable Development",,,,"","",,662,,2-s2.0-41249101414
"Voß J.P., Bauknecht D., Kemp R.","24767026300;55824097700;35619497400;","Reflexive governance for sustainable development",2006,"Reflexive Governance for Sustainable Development",,,,"","",480,248,,2-s2.0-84881708081
