"ref","Freq","citation"
"17",3," Stirling A: Emancipating transformations: from controlling ‘thetransition’ to culturing plural radical progress. The Politics ofGreen Transformations. London: Routledge; 2015, 54-67."
"5",2,NA
"8",2," Scoones I, Newell P, Leach M: The Politics of GreenTransformations. London: Earthscan Routledge; 2015"
"13",2," Leach M, Scoones I, Stirling A: Dynamic Sustainabilities:Technology, Environment, Social Justice. London: Earthscan;2010."
"14",2," Stirling A: Pluralising progress: from integrative transitions totransformative diversity. Environ Innov Soc Transitions 2011,1:82-88."
"31",2," Lara LG, Pereira LM, Ravera F, Jiménez-Aceituno A: Flipping thetortilla: social-ecological innovations and traditionalecological knowledge for more sustainable agri-food systemsin spain. Sustainability 2009, 11."
"44",2," Brown K: Global Environmental Change I: A Social Turn ForResilience? Prog Hum Geogr 2013, 38(1):107-117."
"52",2," Kern F: Energy transitions and deliberate transitionmanagement: implementing the green economy. OkolWirtschaften 2013, 3:20-23."
"57",2," Abrol D: Embedding technology in community-basedproduction systems through people’s technology initiatives:lessons from the Indian experience. Int J Technol Manag SustainDev 2005, 4:3-20."
"59",2," Meadowcroft J: Engaging with the politics of sustainabilitytransitions. Environ Innov Soc Transitions 2011, 1:70-75."
"62",2," Moore M-L, Olsson P, Nilsson W, Rose L, Westley FR: Navigatingemergence and system reflexivity as key transformativecapacities: experiences from a Global Fellowship program.Ecol Soc 2018, 23."
"63",2," Drimie S, Hamann R, Manderson AP, Mlondobozi N: Creatingtransformative spaces for dialogue and action: reflecting onthe experience of the Southern Africa Food Lab. Ecol Soc2018, 23."
"67",2," Pereira LM, Karpouzoglou T, Frantzeskaki N, Olsson P: Designingtransformative spaces for sustainability in social-ecologicalsystems. Ecol Soc 2018, 23"
"70",2," Stirling A: Engineering and sustainability: control and care inunfoldings of modernity. In Routledge Companion to thePhilosophy of Engineering, , vol. 06. Edited by Michelfelder DP,Doorn N. London: Routledge; 2019"
"75",2," Pereira LM, Hichert T, Hamann M, Preiser R, Biggs R: Usingfutures methods to create transformative spaces: visions of agood Anthropocene in southern Africa. Ecol Soc 2018, 23"
"92",2," Smith A, Stirling A: Innovation, sustainability and democracy:an analysis of grassroots contributions. J Self-GovernanceManag Econ 2018, 6:64-97"
"97",2," Van Zwanenberg P, Cremaschi A, Obaya M, Marin A,Lowenstein V: Seeking unconventional alliances and bridginginnovations in spaces for transformative change: the seedsector and agricultural sustainability. Ecol Soc 2018, 23"
"106",2," Wittmayer JM, Scha N: Action, research and participation: rolesof researchers in sustainability transitions. Sustain Sci 2014,9:483-496."
"107",2," Charli-Joseph L, Siqueiros-Garcia JM, Eakin H, Manuel Navarrete D, Shelton R: Promoting agency for social-ecological transformation: a transformation-lab in the Xochimilco socialecological system. Ecol Soc 2018, 23"
"1",1," Steffen W et al.: Planetary boundaries: guiding humandevelopment on a changing planet. Science (80-) 2015, 347."
"2",1," Rockström J et al.: A safe operating space for humanity. Nature2009, 461:472-475."
"3",1," Raworth K: A Safe and Just Space for Humanity: Can We Live Withinthe Doughnut? . Available (November 2019) at: Oxford: Oxfam; 2012https://www-cdn.oxfam.org/s3fs-public/file_attachments/dp-a-safe-and-just-space-for-humanity-130212-en_5.pdf.Current Opinion in Environmental Sustainability 2020, 42:65–75"
"4",1," Leach M et al.: Equity and sustainability in the anthropocene: asocial–ecological systems perspective on their intertwinedfutures. Glob Sustain 2018, 1"
"6",1," Pelling M: Transformation: a renewed window on developmentresponsibility for risk management. J Extreme Events 2014, 1 p.1402003."
"7",1," Blythe J et al.: The dark side of transformation: latent risks incontemporary sustainability discourse. Antipode 2018,50:1206-1223."
"9",1," W.-P. G, Arnott J, Mach K: Transforming science-societyengagement and generating actionable knowledge forenvironmental sustainability under global change. Curr OpinEnviron Sustain 2020."
"10",1," Patterson J, Schulz K, Vervoort J, Van Der Hel S, Sethi M,Barau A: Exploring the governance and politics oftransformations towards sustainability. Environ Innov SocTransitions 2017, 24:1-16."
"11",1," Hackmann AL, St. Clair H: Transformative cornerstones ofsocial science research for global change. Int Soc Sci CouncParis 2013, 4:117-152."
"12",1," O’Brien K: Global environmental change III: closing the gapbetween knowledge and action. Prog Hum Geogr 2012,37:587-596."
"15",1," Smith A, Stirling A, Berkhout F: The governance of sustainablesocio-technical transitions. Res Policy 2005, 34:1491-1510."
"16",1," Schot J, Steinmueller WE: New directions for innovationstudies: missions and transformation. Res Poliicy 2018,47:1583-1584."
"18",1," Kates RW, Travis WR, Wilbanks TJ: Transformational adaptationwhen incremental adaptations to climate change areinsufficient. Proc Natl Acad Sci U S A 2012, 109:7156-7161."
"19",1," Newell P: The politics of green transformations in capitalism. InThe Politics of Green Transformation. Edited by Scoones I, LeachM, Newel P. London: Earthscan; 2015."
"20",1," Foster JB, Clark B, York R: The Ecological Rift: Capitalism’s War onthe Earth. New York: Monthly Review Press; 2010."
"21",1," D’Alisa G, Demaria F, Kallis G (Eds): Degrowth: a Vocabulary for aNew Era. London: Routledge; 2015."
"22",1," O’Brien K, O’Brien K: Global environmental change II: fromadaptation to deliberate transformation. Prog Hum Geogr 2012,36:667-676."
"23",1," Grin J, Rotmans J, Schot J, Geels F, Loorbach D: Transitions toSustainable Development: New Directions in the Study of LongTerm Transformative Change. London: Routledge; 2010."
"24",1," Scoones I: The politics of sustainability and development. AnnuRev Environ Resour 2016:1-275.Feola G: Societal transformation in response to globalenvironmental change: a review of emerging concepts. Ambio2014, 44:376-390."
"25",1," Marx K: Capital: a Critique of Political Economy - Volume 1.Harmondsworth: Penguin; 1976."
"26",1," Lenin VI: Revolution, Democracy, Socialism. London: Pluto Press;2008."
"27",1," Gramsci A: Selections from the Prison Notebooks of AntonioGramsci. New York: International Publishers; 1971."
"28",1," Davis M: Old Gods, New Enigmas - Marx’s Lost Theory. London:Verso; 2018."
"29",1," Mouffe C: For a Left Populism. London: Verso; 2018."
"30",1," Jackson T: Prosperity without growth London. Available(November 2019) at: http://www.sd-commission.org.uk/data/files/publications/prosperity_without_growth_report.pdf."
"34",1," Kaijser A, Kronsell A: Climate change through the lens ofintersectionality. Environ Polit 2014, 23:417-433."
"35",1," Maina-okori NM, Koushik JR, Wilson A: Reimaginingintersectionality in environmental and sustainabilityeducation: a critical literature review. J Environ Educ 2018,49:286-296."
"36",1," Fraser N: A triple movement? New Left Rev 2013, 81:119-132."
"37",1," Wainwright H: A New Politics From the Left. Chichester: JohnWiley & Sons; 2018."
"38",1," Abrol D: Conditions for the achievement of pharmaceuticalinnovation for sustainable development: lessons from India.World Rev Sci Technol Sustain Dev 2006, 3."
"39",1," Meadows DH: System dynamics meets the press. Syst Dyn Rev1989, 5:69-80."
"40",1," Meadows DH, Meadows DL, Randers J: Beyond the Limits: GlobalCollapse or A Sustainable Future. London: Earthscan PublicationsLtd; 1992. Earthscan."
"41",1," Holling CS: Resilience and stability of ecological systems. AnnuRev Ecol Syst 1973, 4:1-23."
"42",1," Folke C, Carpenter SR, Walker B, Scheffer M, Chapin T,Rockström J: Resilience thinking: integrating resilience,adaptability and transformability. Ecol Soc 2010, 15."
"43",1," Berkes F, Colding J, Folke C (Eds): Social-ecological Systems:Building Resilience For Complexity and Change. Cambridge:Cambridge University Press; 2003."
"45",1," Westley F et al.: Tipping toward sustainability: emergingpathways of transformation. Ambio 2011, 40:762-780."
"46",1," Olsson P, Galaz V, Boonstra WJ: Sustainability transformations:a resilience perspective. Ecol Soc 2014, 19."
