"ref","Freq","citation"
"73",5," Frantzeskaki N, Castán Broto V, Coenen L, Loorbach D, eds. 2017. Urban Sustainability Transitions. London: Routledge"
"25",4," Avelino F, Wittmayer JM. 2016. Shifting power relations in sustainability transitions: a multi-actor perspective. J. Environ. Policy Plann. 18:628–49"
"52",4," van Raak R. 2016. Transition policies: Connecting system dynamics, governance and instruments in an application to Dutch healthcare. PhD thesis, Erasmus Univ., Rotterdam, Neth. https://repub.eur.nl/pub/80061/"
"115",3," Raven R, Van den Bosch S, Weterings R. Transitions and strategic niche management: towards a competence kit for practitioners. Int. J. Technol. Manag. 51.1:57–74"
"13",3," Rip A, Kemp R. 1998. Technological change. In Human Choice and Climate Change, Vol. 2, ed. S Rayner, EL Malone, pp. 327–99. Columbus, Ohio: Battelle Press"
"158",3," Lang DJ, Wiek A, Bergmann M, Stauffacher M, Martens P, et al. 2012. Transdisciplinary research in sustainability science: practice, principles, and challenges. Sustain. Sci. 7:25–43"
"26",3," Grin J, Rotmans J, Schot J. 2011. On patterns and agency in transition dynamics: some key insights from the KSI programme. Environ. Innov. Soc. Transit. 1:76–81"
"3",3," Rotmans J, Kemp R, van Asselt M. 2001. More evolution than revolution: transition management in public policy. Foresight 3:15–31"
"39",3," Turnheim B, Berkhout F, Geels F, Hof A, McMeekin A, et al. 2015. Evaluating sustainability transitions pathways: bridging analytical approaches to address governance challenges. Glob. Environ. Change 35:239–53"
"4",3," Grin J, Rotmans J, Schot J, (collaboration with) Geels FW, Loorbach D, eds. 2010. Transitions to Sustainable Development: New Directions in the Study of Long Term Transformative Change. New York: Routledge"
"40",3," Geels FW, Schot J. 2007. Typology of sociotechnical transition pathways. Res. Policy 36:399–417"
"5",3," Markard J, Raven R, Truffer B. 2012. Sustainability transitions: an emerging field of research and its prospects. Res. Policy 41:955–67"
"62",3," Fuenfschilling L, Truffer B. 2014. The structuration of socio-technical regimes—conceptual foundations from institutional theory. Res. Policy 43:772–91"
"74",3," Jhagroe S, Loorbach D. 2015. See no evil, hear no evil: the democratic potential of transition management. Environ. Innov. Soc. Transit. 15:65–83"
"1",2," Sovacool BK. 2016. How long will it take? Conceptualizing the temporal dynamics of energy transitions. Energy Res. Soc. Sci. 13:202–15"
"11",2," Kemp R. 1994. Technology and the transition to environmental sustainability. The problem of technological regime shifts. Futures 26:1023–46"
"148",2," Hoogma R, Kemp R, Schot J, Truffer B. 2004. Experimenting for sustainable transport: the approach of strategic niche management. Technol. Anal. Strat. Manag. 16(4):561–66"
"151",2," Kemp R, Rip A, Schot J. 2001. Constructing transition paths through the management of niches. In Path Dependence and Creation, ed. R Garud, P Karnoe, pp. 269–99. Mahwa, NJ: Lawrence Erlbaum"
"161",2," Miller TR, Wiek A, Sarewitz D, Robinson J, Olsson L, et al. 2014. The future of sustainability science: a solutions-oriented research agenda. Sustainability Sci. 9:239–46"
"167",2," Loorbach D, Frantzeskaki N, Thissen W. 2011. A transition research perspective on governance for sustainability. In European Research on Sustainable Development, ed. C Jaeger, JD Tábara, J Jaeger, pp. 73– 89. Berlin, Heidelberg: Springer"
"23",2," Loorbach DA, Lijnis Huffenreuter R. 2013. Exploring the economic crisis from a transition management perspective. Environ. Innov. Soc. Transit. 6:35–46"
"27",2," Paredis E. 2013. A Winding Road: Transition Management, Policy Change and the Search for Sustainable Development. Ghent, Belg.: Ghent Univ."
"33",2,"  VROM. 2001. Where There’s a Will There’s a World. The Hague, Neth.: Ministry Hous., Spatial Plann.Environ. (VROM)"
"35",2," Rip A. 1995. Introduction of new technology: making use of recent insights from sociology and economics  of technology. Technol. Anal. Strateg. Manag. 7:417–31"
"37",2," De Haan J. 2010. Towards transition theory. PhD thesis, Erasmus Univ., Rotterdam, Neth. https://repub.eur.nl/pub/20593/"
"41",2," Kemp R, Schot J, Hoogma R. 1998. Regime shifts to sustainability through processes of niche formation: the approach of strategic niche management. Technol. Anal. Strateg. Manag. 10:175–96"
"43",2," Geels F. 2005. Coevolution of technology and society: the multi-level perspective and a case study—the transition in water supply and personal hygiene in the Netherlands (1850–1930). Technol. Soc. 27(3):363–"
"50",2," Hekkert MP, Suurs RA, Negro SO, Kuhlmann S, Smits R. 2007. Functions of innovation systems: a new approach for analysing technological change. Technol. Forecast. Soc. Change 74:413–32"
"59",2," Loorbach D, Avelino F, Haxeltine A, Wittmayer J, O’Riordan T, et al. 2016. The economic crisis as a game changer? Exploring the role of social construction in sustainability transitions. Ecol. Soc. 21:15"
"63",2," Brown RR, Farrelly MA, Loorbach DA. 2013. Actors working the institutions in sustainability transitions: the case of Melbourne’s stormwater management. Glob. Environ. Change 23:701–18"
"72",2," Loorbach D, Wittmayer JM, Shiroyama H, Fujino J, Mizuguchi S, eds. 2016. Governance of Urban Sustainability Transitions: European and Asian Experiences, Vol. 1. Tokyo: Springer"
"75",2," Arentsen M, Bellekom S. 2014. Power to the people: Local energy initiatives as seedbeds of innovation? Energy Sustain. Soc. 4:1–12"
"80",2," Gunderson L, Holling CS, eds. 2002. Panarchy: Understanding Transformations in Human and Natural Systems. Washington, DC: Island Press"
"82",2," Galaz V, Biermann F, Crona B, Loorbach D, Folke C, et al. 2012. “Planetary boundaries”—exploring the challenges for global environmental governance. Curr. Opin. Environ. Sustain. 4:80–87"
"10",1," Costanza R. 1992. Ecological Economics: The Science and Management of Sustainability. New York: Columbia Univ. Press"
"100",1," Biermann F, Pattberg P. 2008. Global environmental governance: taking stock, moving forward. Annu. Rev. Environ. Resour. 33:277–94"
"101",1," Lemos MC, Agrawal A. 2006. Environmental governance. Annu. Rev. Environ. Resour. 31:297–325"
"102",1," Elkington J. 2006. Governance for sustainability. Corp. Gov. 14:522–29"
"103",1," Nooteboom S. 2006. Adaptive Networks: The Governance for Sustainability. Rotterdam, Neth.: Erasmus Univ. Rotterdam Press"
"104",1," Patterson J, Schulz K, Vervoort J, van der Hel S, Widerberg O, et al. 2016. Exploring the governance and politics of transformations towards sustainability. Environ. Innov. Soc. Transit. In press. http://dx.doi.org/10.1016/j.eist.2016.09.001"
"105",1," Wittmayer J. 2016. Transition management, action research and actor roles: understanding local sustainability transitions. PhD thesis, Erasmus Univ., Rotterdam, Neth. http://hdl.handle.net/1765/94385"
"108",1," Scholz RW, Spoerri A, Lang DJ. 2009. Problem structuring for transitions: the case of Swiss waste management. Futures 41:171–81"
"109",1," Wiek A, Binder C, Scholz R. 2006. Functions of scenarios in transition processes. Futures 38:740–66"
"110",1," Hisschemoller M, Hoppe R, Dunn WN, Ravetz JR, ed. 2001. Knowledge, Power, and Participation in Environmental Policy Analysis. New Brunswick, NJ: Transaction Publ."
"111",1," Sondeijker S, Geurts J, Rotmans Tukker A. 2006. Imagining sustainability: the added value of transition scenarios in transition management. Foresight 8:15–30"
"112",1," Quist J, Vergragt P. 2006. Past and future of backcasting: the shift to stakeholder participation and a proposal for a methodological framework. Futures 38:1027–45"
"113",1," Nevens F, Frantzeskaki N, Gorissen L, Loorbach D. 2013. Urban transition labs: co-creating transformative action for sustainable cities. J. Clean. Prod. 50:111–22"
"114",1," Brown HS, Vergragt PJ, Green K, Berchicci L. 2004. Bounded sociotechnical experiments (BSTEs): higher order learning for transitions towards sustainable mobility. In System Innovation and the Transition to Sustainability: Theory, Evidence, and Policy, ed. B Elzen, FW Geels, K Green, pp. 191–222. Cheltenham, UK: Edward Elgar Publ."
"116",1," Bos J, Brown R. 2012. Governance experimentation and factors of success in socio-technical transitions in the urban water sector. Technol. Forecast. Soc. Change 79:1340–53"
"117",1," Loeber A, Van Mierlo B, Leeuwis C, Grin J. 2007. The practical value of theory: conceptualizing learning in the pursuit of a sustainable development. In Social Learning Toward a More Sustainable World: Principles, Perspectives, and Praxis, ed. A Wals, T Van der Leij, pp. 83–98. Wageningen, Neth.: Wageningen Acad. Publ."
"118",1," Sol J, Beers PJ, Wals AE. 2013. Social learning in regional innovation networks: trust, commitment and reframing as emergent properties of interaction. J. Clean. Prod. 49:35–43"
"119",1," Grin J, Weterings R. 2005. Reflexive monitoring of systems innovative projects: strategic nature and relevant competences. Presented at Open Meet. Human Dimensions Global Environ. Change Res. Commun., 6th, Bonn, Ger., Oct. 9–13"
"12",1," Geels FW, en Kemp R. 2000. Transities vanuit sociotechnisch perspectief. Maastricht, Neth.: MERIT, Maastricht Univ."
"120",1," Taanman M. 2014. Looking for transitions: a monitoring approach to improve transition programmes. PhD thesis, Erasmus Univ., Rotterdam, Neth. https://repub.eur.nl/pub/77582"
"121",1," Hendriks CM, Grin J. 2007. Contextualizing reflexive governance: the politics of Dutch transitions to sustainability. J. Environ. Policy Plann. 9:333–50"
"122",1," Voss J, Bauknecht D, Kemp R, ed. 2006. Reflexive Governance for Sustainable Development. Cheltenham, UK: Edward Elgar"
"123",1," Pahl-Wostl C, Downing T, Kabat P, Magnuszewski P, Meigh J, et al. 2005. Transition to adaptive water management: The NeWater project. NeWater Work. Pap., Inst. Environ. Syst. Res., Univ. Osnabrück. http://nora.nerc.ac.uk/1018/"
"124",1," Van der Brugge R, Rotmans J, Loorbach D. 2005. The transition in Dutch water management. Reg. Environ. Change 5:164"
"126",1," Parto S, Loorbach D, Lansink A, Kemp R. 2007. Transitions and institutional change: the case of the Dutch waste subsystem. In Industrial Innovation and Environmental Regulation: Developing Workable Solutions, ed. S Parto, B Herbert-Copley, pp. 233–57. Tokyo: United Nations University Press"
"127",1," Van Eijck J, Romijn H. 2008. Prospects for Jatropha biofuels in Tanzania: an analysis with strategic niche management. Energy Policy 36:311–25"
"128",1," Van der Laak W, Raven R, Verbong G. 2007. Strategic niche management for biofuels: analysing past experiments for developing new biofuel policies. Energy Policy 35:3213–25"
"129",1," Späth P, Rohracher H. 2012. Local demonstrations for global transitions—dynamics across governance levels fostering socio-technical regime change towards sustainability. Eur. Plann. Stud. 20:461–79"
"130",1," Rohracher H. 2001. Managing the technological transition to sustainable construction of buildings: a socio-technical perspective. Technol. Anal. Strateg. Manag. 13:137–50"
"131",1," Schot J, Rip A. 1997. The past and future of constructive technology assessment. Technol. Forecast. Soc. Change 54:251–68"
"132",1," Schreuer A, Ornetzeder M, Rohracher H. 2010. Negotiating the local embedding of socio-technical experiments: a case study in fuel cell technology. Technol. Anal. Strateg. Manag. 22:729–43"
"133",1," Shove E, Walker G. 2007. CAUTION! Transitions ahead: politics, practice, and sustainable transition management. Environ. Plann. A 39:763–70"
"134",1," Meadowcroft J. 2011. Engaging with the politics of sustainability transitions. Environ. Innov. Soc. Transit. 1:70–75"
"135",1," Avelino F, Grin J, Pel B, Jhagroe S. 2016. The politics of sustainability transitions. J. Environ. Policy Plann. 18(5):557–67"
"136",1," Hendriks CM, Grin J. 2007. Contextualizing reflexive governance: the politics of Dutch transitions to sustainability. J. Environ. Policy Plann. 9:333–50"
"137",1," Kern F, Smith A. 2007. Restructuring energy systems for sustainability? Energy transition policy in the Netherlands. Energy Policy 36:4093–103"
"138",1," de Gooyert V, Rouwette E, van Kranenburg H, Freeman E, van Breen H. 2016. Sustainability transition dynamics: towards overcoming policy resistance. Technol. Forecast. Social Change 111:135–45"
"139",1," Smith A, Kern F. 2009. The transitions storyline in Dutch environmental policy. Environ. Polit. 18:78–98"
"14",1," Arthur WB. 1994. Increasing Returns and Path Dependence in the Economy. Ann Arbor, MI: Univ. Michigan Press"
"140",1," Van Der Loo F, Loorbach D. 2012. The Dutch Energy Transition project (2000–2009). See Ref. 2, pp. 220–50"
"141",1," Verbong G, Geels F. 2006. The ongoing energy transition: lessons from a socio-technical, multi-level analysis of the Dutch electricity system (1960–2004). Energy Policy 13:45–59"
"142",1," Rogge KS, Reichardt K. 2016. Policy mixes for sustainability transitions: an extended concept and framework for analysis. Res. Policy 45:1620–35"
