"","id","author","publication_year","display_name","doi","cited_by_count","ab"
"1","W2011303397","C. S. Holling",1973,"Resilience and Stability of Ecological Systems","https://doi.org/10.1146/annurev.es.04.110173.000245",11726,"Individuals die, populations disappear, and species become extinct. That is one view of the world. But another view of the world concentrates not so much on presence or absence as upon the numbers of organisms and the degree of constancy of their numbers. These are two very different ways of viewing the behavior of systems and the usefulness of the view depends very much on the properties of the system concerned. If we are examining a particular device designed by the engineer to perform specific tasks under a rather narrow range of predictable external conditions, we are likely to be more concerned with consistent nonvariable performance in which slight departures from the performance goal are immediately counteracted. A quantitative view of the behavior of the system is, therefore, essential. With attention focused upon achieving constancy, the critical events seem to be the amplitude and frequency of oscillations. But if we are dealing with a system profoundly affected by changes external to it, and continually confronted by the unexpected, the constancy of its behavior becomes less important than the persistence of the relationships. Attention shifts, therefore, to the qualitative and to questions of existence or not. Our traditions of analysis in theoretical and empirical ecology have been largely inherited from developments in classical physics and its applied variants. Inevitably, there has been a tendency to emphasize the quantitative rather than the qualitative, for it is important in this tradition to know not just that a quantity is larger than another quantity, but precisely how much larger. It is similarly important, if a quantity fluctuates, to know its amplitude and period of fluctuation. But this orientation may simply reflect an analytic approach developed in one area because it was useful and then transferred to another where it may not be. Our traditional view of natural systems, therefore, might well be less a meaningful reality than a perceptual convenience. There can in some years be more owls and fewer mice and in others, the reverse. Fish populations wax and wane as a natural condition, and insect populations can range over extremes that only logarithmic"
"2","W2096885696","Johan Rockström, Will Steffen, Kevin J. Noone, Åsa Persson, F. Stuart Chapin, Eric F. Lambin, Timothy M. Lenton, Marten Scheffer, Carl Folke, Hans Joachim Schellnhuber, Björn Nykvist, Cynthia A. de Wit, Terry P. Hughes, Sander van der Leeuw, Henning Rodhe, Sverker Sörlin, Peter J. Snyder, Robert Costanza, Uno Svedin, Malin Falkenmark, Louise Karlberg, Robert W. Corell, Victoria J. Fabry, J. D. Hansen, Brian R. Walker, Diana Liverman, Katherine Richardson, Paul J. Crutzen, Jonathan A. Foley",2009,"A safe operating space for humanity","https://doi.org/10.1038/461472a",7993,"Identifying and quantifying planetary boundaries that must not be transgressed could help prevent human activities from causing unacceptable environmental change, argue Johan Rockström and colleagues."
"3","W1999167944","Will Steffen, Katherine Richardson, Johan Rockström, Sarah Cornell, Ingo Fetzer, Elena M. Bennett, Reinette Biggs, Stephen R. Carpenter, Wim de Vries, Cynthia A. de Wit, Carl Folke, Dieter Gerten, Jens Heinke, Georgina M. Mace, Linn Persson, Veerabhadran Ramanathan, Belinda Reyers, Sverker Sörlin",2015,"Planetary boundaries: Guiding human development on a changing planet","https://doi.org/10.1126/science.1259855",6338,"Crossing the boundaries in global sustainability The planetary boundary (PB) concept, introduced in 2009, aimed to define the environmental limits within which humanity can safely operate. This approach has proved influential in global sustainability policy development. Steffen et al. provide an updated and extended analysis of the PB framework. Of the original nine proposed boundaries, they identify three (including climate change) that might push the Earth system into a new state if crossed and that also have a pervasive influence on the remaining boundaries. They also develop the PB framework so that it can be applied usefully in a regional context. Science , this issue 10.1126/science.1259855"
"4","W2084530896","Carl Folke",2006,"Resilience: The emergence of a perspective for social–ecological systems analyses","https://doi.org/10.1016/j.gloenvcha.2006.04.002",5037,"The resilience perspective is increasingly used as an approach for understanding the dynamics of social–ecological systems. This article presents the origin of the resilience perspective and provides an overview of its development to date. With roots in one branch of ecology and the discovery of multiple basins of attraction in ecosystems in the 1960–1970s, it inspired social and environmental scientists to challenge the dominant stable equilibrium view. The resilience approach emphasizes non-linear dynamics, thresholds, uncertainty and surprise, how periods of gradual change interplay with periods of rapid change and how such dynamics interact across temporal and spatial scales. The history was dominated by empirical observations of ecosystem dynamics interpreted in mathematical models, developing into the adaptive management approach for responding to ecosystem change. Serious attempts to integrate the social dimension is currently taking place in resilience work reflected in the large numbers of sciences involved in explorative studies and new discoveries of linked social–ecological systems. Recent advances include understanding of social processes like, social learning and social memory, mental models and knowledge–system integration, visioning and scenario building, leadership, agents and actor groups, social networks, institutional and organizational inertia and change, adaptive capacity, transformability and systems of adaptive governance that allow for management of essential ecosystem services."
"5","W2034994370","Elinor Ostrom",2009,"A General Framework for Analyzing Sustainability of Social-Ecological Systems","https://doi.org/10.1126/science.1172133",4828,"A major problem worldwide is the potential loss of fisheries, forests, and water resources. Understanding of the processes that lead to improvements in or deterioration of natural resources is limited, because scientific disciplines use different concepts and languages to describe and explain complex social-ecological systems (SESs). Without a common framework to organize findings, isolated knowledge does not cumulate. Until recently, accepted theory has assumed that resource users will never self-organize to maintain their resources and that governments must impose solutions. Research in multiple disciplines, however, has found that some government policies accelerate resource destruction, whereas some resource users have invested their time and energy to achieve sustainability. A general framework is used to identify 10 subsystem variables that affect the likelihood of self-organization in efforts to achieve a sustainable SES."
"6","W2274815048","Brian R. Walker, C. S. Holling, Stephen R. Carpenter, Ann P. Kinzig",2004,"Resilience, Adaptability and Transformability in Social-ecological Systems","https://doi.org/10.5751/es-00650-090205",4568,"Walker, B., C. Holling, S. R. Carpenter and A. P. Kinzig 2004. Resilience, adaptability and transformability in social–ecological systems. Ecology and Society 9(2): 5. https://doi.org/10.5751/ES-00650-090205"
"7","W2099330597","Benjamin K. Sovacool",2002,"Technological transitions as evolutionary reconfiguration processes: a multi-level perspective and a case-study","https://doi.org/10.1016/s0048-7333(02)00062-8",4254,"This paper addresses the question of how technological transitions (TT) come about? Are there particular patterns and mechanisms in transition processes? TT are defined as major, long-term technological changes in the way societal functions are fulfilled. TT do not only involve changes in technology, but also changes in user practices, regulation, industrial networks, infrastructure, and symbolic meaning or culture. This paper practices ‘appreciative theory’ [R.R. Nelson, S.G. Winter, An Evolutionary Theory of Economic Change, Bellknap Press, Cambridge, MA, 1982] and brings together insights from evolutionary economics and technology studies. This results in a multi-level perspective on TT where two views of the evolution are combined: (i) evolution as a process of variation, selection and retention, (ii) evolution as a process of unfolding and reconfiguration. The perspective is empirically illustrated with a qualitative longitudinal case-study, the transition from sailing ships to steamships, 1780–1900. Three particular mechanisms in TT are described: niche-cumulation, technological add-on and hybridisation, riding along with market growth."
"8","W1976759885","Carl Folke, Thomas P. Hahn, Per Olsson, Jon Norberg",2005,"ADAPTIVE GOVERNANCE OF SOCIAL-ECOLOGICAL SYSTEMS","https://doi.org/10.1146/annurev.energy.30.050504.144511",3840,"▪ Abstract We explore the social dimension that enables adaptive ecosystem-based management. The review concentrates on experiences of adaptive governance of social-ecological systems during periods of abrupt change (crisis) and investigates social sources of renewal and reorganization. Such governance connects individuals, organizations, agencies, and institutions at multiple organizational levels. Key persons provide leadership, trust, vision, meaning, and they help transform management organizations toward a learning environment. Adaptive governance systems often self-organize as social networks with teams and actor groups that draw on various knowledge systems and experiences for the development of a common understanding and policies. The emergence of “bridging organizations” seem to lower the costs of collaboration and conflict resolution, and enabling legislation and governmental policies can support self-organization while framing creativity for adaptive comanagement efforts. A resilient social-ecological system may make use of crisis as an opportunity to transform into a more desired state."
"9","W2156304718","Benjamin K. Sovacool, Johan Schot",2007,"Typology of sociotechnical transition pathways","https://doi.org/10.1016/j.respol.2007.01.003",3344,"Contributing to debates about transitions and system changes, this article has two aims. First, it uses criticisms on the multi-level perspective as stepping stones for further conceptual refinements. Second, it develops a typology of four transition pathways: transformation, reconfiguration, technological substitution, and de-alignment and re-alignment. These pathways differ in combinations of timing and nature of multi-level interactions. They are illustrated with historical examples."
"10","W2009202666","W. Brian Arthur",1994,"Increasing Returns and Path Dependence in the Economy","https://doi.org/10.3998/mpub.10029",3174,""
